,lep1pt,lep2pt,theta_ll,b1pt,b2pt,theta_bb,MET,dR_l1,dR_l2
1,115.566,46.2584,0.819564,58.5444,55.9847,0.58284,42.1579,2.18906,1.44799
2,73.3765,39.0805,0.931108,56.7313,34.3904,2.36578,16.8264,2.28418,2.3157
3,64.7119,41.6958,0.348436,109.765,47.9471,1.19431,66.1845,2.5241,1.74457
4,190.07,48.6775,1.36408,183.472,45.1417,1.57577,50.259,1.22483,0.786603
5,110.084,77.3845,1.99402,223.675,176.957,1.22529,24.3629,0.7687,1.33519
6,65.6488,39.5035,0.396423,71.523,59.3085,1.25088,20.4482,1.2057,2.74209
7,70.4288,47.6141,2.41238,93.9598,63.0814,1.78817,61.5301,1.00348,2.42701
8,67.8068,54.1883,2.02188,44.6112,36.9928,1.74056,65.2696,1.41553,1.24977
9,36.2916,36.1633,1.16422,70.4519,65.646,0.702554,69.5485,1.94815,1.91479
10,184.719,70.676,0.582247,137.979,37.9204,0.327828,72.848,1.30119,0.571259
11,76.4963,36.6684,0.511726,154.305,149.572,1.39525,84.7067,0.635638,2.19556
12,73.7636,48.964,2.12908,49.2059,39.5422,2.23742,81.7566,1.94917,2.10768
13,81.7556,43.9095,2.03571,148.257,144.583,2.02939,89.9502,0.742785,1.26302
14,48.812,31.6768,2.62206,102.763,41.4317,0.784402,94.7536,3.37164,1.07433
15,110.792,63.2672,2.53519,88.4008,50.669,2.32061,99.0528,1.4637,1.58435
16,90.4455,80.5965,0.943973,176.132,49.4267,1.14401,135.288,0.969964,1.2384
17,65.6367,30.9158,1.2019,136.283,43.0582,2.65291,141.383,0.902239,2.63404
18,182.39,37.3173,1.59306,161.389,75.5695,2.63395,35.9733,2.78526,2.19064
19,50.8654,48.3581,1.50382,133.059,35.8558,2.54028,65.6408,1.11917,1.97923
20,70.7533,39.3139,1.75545,96.2447,77.1046,1.86306,64.4252,1.29103,2.17
21,68.3055,32.5428,1.02149,63.7632,46.5423,0.863879,89.2577,1.67147,1.20872
22,110.135,30.0699,1.33029,163.523,36.9152,0.392002,61.3223,3.00118,0.801459
23,40.2496,38.4574,1.21156,124.531,42.9606,1.60587,87.429,1.04276,1.54075
24,165.221,113.381,1.2739,136.198,50.3485,0.812029,117.137,2.57005,1.23258
25,77.1416,38.3501,2.06553,152.76,44.0384,1.75145,279.202,1.02513,1.03345
26,37.6655,37.6194,0.174025,93.0836,86.3677,1.06122,60.5065,0.846932,2.80579
27,109.314,54.3183,1.53296,143.961,34.1521,1.84764,103.077,0.93612,1.34401
28,90.5238,67.5373,0.948698,73.2224,52.5532,0.429591,41.8623,0.971303,1.00671
29,94.0655,54.3922,1.88465,143.344,31.138,1.89917,116.507,1.76023,1.34161
30,128.312,117.935,2.32914,115.655,70.1007,1.95987,65.5465,1.09927,1.40977
31,75.3486,53.8857,0.751057,126.229,34.2863,2.24761,75.8664,1.9135,1.70491
32,113.426,33.4037,2.84118,75.0397,30.1808,0.923357,70.4962,1.51424,1.94091
33,92.5058,43.0421,1.73718,42.5229,37.9902,0.578468,72.6151,2.26689,2.04734
34,46.6184,40.1596,0.904621,68.6858,53.03,0.823596,78.6427,0.915039,1.98599
35,46.7034,43.7045,2.06399,114.607,31.5055,2.05203,33.3623,2.54664,3.06706
36,50.3754,41.2663,2.74186,62.1963,54.8033,2.53267,119.959,1.02465,1.27359
37,58.4647,55.1023,1.26748,46.9356,39.1483,1.24908,20.8878,2.90676,0.743732
38,111.278,65.158,0.882983,69.1858,56.3476,0.972392,23.7899,1.25245,2.2462
39,156.927,144.922,2.82315,95.0538,49.1719,1.6665,70.3821,1.14265,0.845131
40,77.5461,70.1264,0.969066,68.2988,32.1491,1.56298,85.4777,2.29304,1.69359
41,87.581,53.9534,0.844165,45.1642,36.0196,2.17738,28.5213,1.13943,1.85165
42,73.7957,41.646,1.03606,100.555,52.9647,1.28253,60.4562,1.8464,2.23201
43,35.9593,35.7649,2.63583,103.386,56.8858,2.65103,51.1203,1.73077,3.10828
44,58.6221,34.2447,1.20828,118.068,55.5612,2.15146,57.6208,1.97017,2.68414
45,45.8088,41.1237,0.424874,65.4014,53.3577,0.153641,40.5414,2.0804,2.51032
46,39.5177,36.7071,0.976313,125.256,51.3121,1.26845,39.7781,1.31806,1.55858
47,118.733,36.3498,0.92723,71.8493,51.2157,2.53975,53.4995,1.79135,2.6274
48,171.528,139.452,1.5736,158.851,49.2068,0.758561,124.802,1.18351,0.537304
49,50.0882,31.3687,0.994135,123.983,41.3607,1.79935,46.2787,1.72863,1.46635
50,82.2209,54.2375,0.622725,67.1727,60.8329,1.07346,49.9794,1.82034,2.55188
51,137.193,80.7861,2.71295,139.586,133.786,1.81334,42.4587,0.769136,0.898646
52,55.6682,49.0574,1.63082,64.0038,46.0369,0.597935,34.0367,1.88573,2.86175
53,55.1321,36.3041,1.28687,65.661,36.7398,1.54152,38.4261,2.21079,2.63228
54,70.726,40.4931,2.68207,74.0016,72.5118,2.27232,41.508,1.11167,1.0205
55,79.0328,32.3496,1.13614,116.074,102.859,0.698957,22.7281,1.05614,2.05295
56,34.849,32.1005,1.15553,115.727,46.9542,0.845904,49.8524,1.69113,1.74842
57,54.073,49.2657,2.71255,194.461,158.143,2.08202,29.1896,0.807512,1.18669
58,58.0644,55.0812,1.60597,49.1056,48.4109,0.323635,57.5494,2.52681,4.86079
59,213.652,82.03,1.5648,82.4216,65.7994,1.3947,127.463,1.05448,0.68473
60,70.1424,32.7854,1.89566,119.005,59.0135,1.06046,61.6421,1.07654,1.24791
61,45.6169,38.2072,1.41416,45.2911,36.6819,0.843764,54.6572,2.43546,1.59552
62,258.272,53.5341,1.11938,540.436,50.9726,1.9064,163.096,3.25034,0.741234
63,108.378,46.8056,2.04826,141.52,83.887,2.60615,63.8774,1.33782,1.08759
64,60.0769,48.865,1.22888,77.8663,58.1059,1.68777,73.8313,1.11376,2.32683
65,49.125,31.6993,3.01463,70.7897,61.3372,2.73305,37.9947,1.52986,1.39077
66,132.241,71.5941,1.3957,170.098,60.8255,1.67724,168.441,1.28628,0.753512
67,87.8761,64.8624,0.758932,156.163,102.519,0.896972,64.5546,1.45114,0.684276
68,150.4,42.3057,0.958642,124.46,117.22,0.593091,92.6547,0.982495,0.682643
69,62.6186,30.629,1.7091,81.2669,42.2081,1.66631,91.3714,0.979397,3.03962
70,35.4972,30.5083,2.33934,83.3346,52.1313,0.853789,53.3017,0.565419,2.51031
71,62.8541,58.7848,0.822131,88.1484,57.8644,1.23909,68.1654,1.98269,2.19982
72,110.624,101.277,2.22139,171.497,152.045,2.34746,56.2129,0.838629,0.619527
73,68.375,57.5372,2.6892,60.6741,48.1832,1.44115,49.3266,2.18774,1.709
74,85.1663,44.7537,1.41265,79.8634,61.1349,0.625154,37.7039,2.75871,1.53185
75,58.9736,42.5307,1.24893,63.36,46.747,1.16881,46.7829,1.89246,2.8074
76,63.6317,30.7424,1.71042,65.2617,57.8558,0.746997,122.297,2.31514,1.27522
77,72.3909,32.6605,0.91214,56.7123,52.5795,1.95921,89.0783,1.96267,1.88552
78,68.1089,40.15,0.84522,77.1669,58.4968,1.39063,86.0212,2.4435,0.954176
79,39.8428,35.5842,0.501862,77.6338,67.4177,0.535571,50.7275,2.29127,1.7044
80,86.6425,77.4693,1.09886,74.4075,51.4135,2.93078,5.78005,1.2831,1.55261
81,64.1107,49.6617,1.04105,43.3738,30.6696,1.41532,53.7205,0.693456,2.13379
82,107.793,56.5996,0.373034,108.404,74.2671,2.18939,15.588,4.69893,2.64137
83,114.805,74.2974,2.02782,126.093,49.614,1.82845,41.107,2.26693,0.99181
84,78.0132,62.4588,2.2259,122.025,91.565,2.37305,24.2466,1.52502,1.42505
85,112.178,63.6028,2.29798,132.906,47.9882,1.24438,93.602,2.407,1.30479
86,96.0862,70.4738,0.989066,231.786,80.2456,1.67156,170.235,0.760681,1.26979
87,44.7016,40.9509,0.801459,98.9571,79.2702,0.69225,65.941,2.36239,0.860607
88,82.8392,31.4623,1.09249,68.3322,44.3575,1.27672,43.322,1.60848,1.243
89,76.5145,36.6145,0.837782,100.229,41.6279,1.83555,56.4903,1.82541,1.8982
90,40.6921,36.7127,1.54875,88.2421,54.2465,2.62645,38.3748,1.89595,0.903686
91,289.008,54.7177,1.97725,59.3133,57.2798,1.47549,90.7912,1.1356,1.62783
92,52.9776,37.0449,2.17065,131.155,55.7217,2.14562,144.957,2.36126,1.13104
93,186.888,47.121,2.17024,74.6502,34.0066,1.73295,33.3247,0.874112,2.49698
94,65.4569,44.2174,1.99274,169.69,36.2494,2.64738,105.606,1.14618,1.15444
95,110.601,92.5333,2.18422,94.5251,84.0996,1.71234,73.6022,1.0496,1.07535
96,89.253,82.8592,1.86484,68.5249,37.6457,2.65532,74.9887,1.45104,2.03317
97,44.1719,41.4842,1.39548,71.3304,51.5203,2.6439,64.7524,2.63922,0.961864
98,56.4952,50.006,2.21432,153.676,44.0167,2.27556,124.962,0.733812,1.81008
99,45.3718,34.4014,1.85701,108.373,34.6926,1.0123,103.602,2.14337,2.73676
100,43.6766,36.1306,0.542101,83.0596,73.7315,0.757395,21.93,0.801346,0.90017
101,89.7691,49.3547,0.944396,92.2988,64.7883,0.525875,87.0071,1.40582,1.23893
102,138.044,80.8731,1.44383,85.1007,34.7098,1.62393,18.0235,2.43094,1.3689
103,67.1474,43.6194,1.66023,80.4328,65.1577,0.801811,94.2957,1.99301,1.67834
104,58.0983,35.8436,1.49149,110.151,64.2734,1.07997,33.2466,2.01191,2.15204
105,69.9466,67.4185,1.96226,74.672,72.679,2.35556,68.0722,0.691435,1.09597
106,58.4487,38.5225,1.82843,235.364,166.324,2.9001,62.1774,3.08518,1.31176
107,118.982,45.316,1.43099,333.418,201.211,1.36235,74.4417,0.658434,0.617829
108,80.8332,63.6136,0.618285,58.9294,45.5386,0.457217,24.8182,2.43202,2.58734
109,123.847,45.9446,2.75475,74.0162,33.7908,1.3003,64.84,0.638178,2.58429
110,44.926,39.6052,0.897508,70.1228,61.7876,1.27095,67.56,1.41456,0.821694
111,65.737,49.8475,0.860997,181.289,154.146,0.57771,82.9353,1.1334,0.634895
112,98.0993,45.245,2.55078,65.2518,45.2555,2.55535,46.5617,1.6113,1.46622
113,85.5698,54.7862,2.32426,185.273,76.692,2.82716,176.118,0.803622,1.38139
114,51.6333,41.9144,2.07138,53.0723,34.6406,2.77206,76.6646,1.97505,1.54038
115,73.4212,71.6803,2.43019,79.8396,39.1657,2.37055,65.2917,0.920877,1.41495
116,74.9483,43.6418,0.628108,54.156,53.708,1.60151,57.7315,3.01159,0.655635
117,53.2895,45.3237,0.690559,75.645,69.7801,1.54783,56.9379,1.93702,1.3599
118,165.02,35.3052,0.486099,177.687,66.5149,0.915979,41.601,0.920899,1.66536
119,105.097,49.5142,1.3005,99.5195,38.5626,0.471824,91.8297,2.49942,0.695514
120,72.4149,44.1935,2.50911,81.3428,32.0609,2.77031,89.0644,2.72325,2.45612
121,62.0114,48.5588,1.58743,50.8959,50.8932,0.798589,68.7103,1.07584,1.96082
122,54.7844,44.8083,2.27249,162.88,39.4992,1.1205,34.4211,1.29565,1.81152
123,96.2223,90.5176,1.99385,111.445,83.8431,1.71672,77.8419,1.07107,1.62607
124,145.598,34.0446,0.629215,122.532,39.149,1.24348,57.9936,2.33851,1.31061
125,76.6778,32.1833,1.66958,66.2723,55.5484,0.816106,47.8165,2.66311,1.05493
126,111.864,40.8664,1.27597,83.5223,38.5696,0.99407,27.9231,2.58769,2.91359
127,90.8064,51.3547,2.57691,68.7262,50.3721,1.9098,38.1366,1.50013,1.4096
128,88.7082,51.8575,0.225573,76.938,46.8778,0.49683,31.2922,1.91486,3.04571
129,72.4471,35.2924,1.79136,102.801,41.6731,1.19222,75.4378,1.55419,1.38666
130,41.7193,33.2598,1.27672,110.251,42.7885,0.853209,86.0902,1.79324,2.04557
131,120.075,47.0752,1.94122,105.028,84.0905,1.67922,106.647,1.58123,1.61075
132,59.0332,44.363,1.94491,192.233,129.925,1.45931,55.8926,1.06273,1.72017
133,72.9224,39.6602,0.819515,89.1035,68.9891,1.25683,13.5357,3.17903,1.93391
134,70.2839,39.7574,1.87136,93.9757,63.348,1.63872,47.0098,1.90975,2.19965
135,68.8266,38.952,0.774471,226.917,126.043,1.6566,88.105,2.7649,0.60499
136,108.736,88.5805,1.4252,163.663,61.9821,1.07959,255.69,0.513335,1.62842
137,75.2358,46.7197,0.404475,146.622,115.451,0.976552,45.4492,1.87888,0.658878
138,74.0594,60.3996,1.95386,98.7012,73.5657,1.62411,77.673,1.22586,1.86075
139,46.5358,34.6305,0.717901,159.765,148.007,0.579894,36.5851,1.67297,1.42729
140,57.5372,53.8066,1.68623,99.3645,84.8438,1.93837,82.6233,1.57868,1.01841
141,182.931,34.165,2.33468,80.988,78.0229,2.42003,140.591,1.10598,1.15278
142,133.766,102.192,0.470717,123.521,88.8528,0.656924,64.8673,1.41886,1.30539
143,122.182,41.1924,0.988394,64.3686,40.3411,2.2014,67.5752,1.02214,1.84234
144,66.5592,65.7932,1.28832,76.6689,70.2329,2.43449,65.8667,2.09421,1.07159
145,97.3375,91.7319,2.1585,154.195,43.5086,1.76062,76.814,1.86067,0.901318
146,60.5953,53.4686,1.16545,65.2487,35.8461,1.09144,62.2941,2.69449,2.8195
147,118.904,62.2188,2.88749,59.0256,44.545,2.15801,72.8164,1.14884,2.07962
148,48.3563,46.0178,1.22042,89.9043,78.1995,1.49068,44.8529,0.856443,2.05825
149,61.3493,52.6844,1.58767,67.7931,47.1992,1.6983,46.3865,2.3741,0.681869
150,128.459,57.5221,2.19516,98.44,77.3754,1.96433,34.5012,2.58129,1.02133
151,81.607,54.2181,0.388671,73.7323,68.9612,0.590602,27.824,1.11443,1.34156
152,106.032,91.5552,1.41396,36.8239,31.88,1.42963,46.3979,2.19609,2.11853
153,101.864,43.8083,2.09217,102.462,44.0782,1.81931,25.721,2.65446,2.78157
154,57.8256,34.0687,1.5883,62.0387,42.1186,2.69274,29.1107,3.16041,1.94555
155,92.7597,44.9187,2.31826,126.709,78.4788,1.57227,51.9309,1.57986,1.58015
156,39.1151,35.2576,0.727721,126.267,49.329,0.795626,94.1927,1.52376,2.10884
157,73.6279,56.7581,1.47616,130.883,55.994,2.04983,77.1347,2.8357,1.4554
158,47.1266,33.095,0.317233,56.2597,50.0716,2.19854,49.115,1.16831,2.52951
159,37.7551,34.5071,0.594672,35.322,30.416,1.12667,25.1448,1.3277,3.10781
160,77.2474,35.3268,1.16891,119.867,72.3421,2.11268,51.8267,1.43688,1.89541
161,50.1144,35.0823,2.0391,69.1724,66.9247,0.925653,93.2411,1.58377,1.29309
162,42.8066,38.2273,1.15195,66.8523,41.7438,2.17559,38.8211,1.76888,1.36876
163,105.261,32.1397,2.61204,58.958,38.2448,2.39187,45.0189,2.1548,1.60913
164,135.042,103.097,2.38793,99.6019,92.5394,1.84027,73.9211,0.718101,1.10748
